community_id,authorId,name,community_size
1,2427076,Tianfan Fu,48
1,2188778449,Carla P. Gomes,48
1,2047998,Yuxiao Dong,48
1,143967473,Pushmeet Kohli,48
1,46506460,Hanchen Wang,48
1,1738536,Jimeng Sun,48
1,48594758,Weihua Hu,48
1,2115854801,Jian Tang,48
1,89356020,P. Chandak,48
1,1865800402,Y. Bengio,48
1,48860334,Andreea Deac,48
1,49454094,Kexin Huang,48
1,2359205623,Linfeng Zhang,48
1,2047844,Anima Anandkumar,48
1,115517806,Zahra F H Abad,48
1,2047009195,Oishi Banerjee,48
1,49437682,William L. Hamilton,48
1,3360632,Keyulu Xu,48
1,2117715807,H. Krumholz,48
1,3444569,Petar Velickovic,48
1,2156641189,Bowen Liu,48
1,1764249,Joan Lasenby,48
1,2594093,S. Jegelka,48
1,1702139,J. Leskovec,48
1,2226475487,Shirley Ho,48
1,46354410,K. Bergen,48
1,40046694,Hongyu Ren,48
1,13027820,Connor W. Coley,48
1,2226485816,Peter Van Katwyk,48
1,50988143,Pong Eksombatchai,48
1,2118439896,Kaifeng Chen,48
1,2117941801,Ziming Liu,48
1,1754926,Michele Catasta,48
1,2159642226,Le Song,48
1,2228923747,Max Welling,48
1,2153575781,Wenhao Gao,48
1,3410500,Matthias Fey,48
1,2933399,Ruining He,48
1,2110264337,Tie-Yan Liu,48
1,1453104568,P. Rajpurkar,48
1,93584228,Yuanqi Du,48
1,2613935,A. Manrai,48
1,83539859,Rex Ying,48
1,144758045,E. Topol,48
1,2226493959,D. Marks,48
1,1563693999,Shengchao Liu,48
1,2095762,M. Zitnik,48
1,1557487144,Michael Moor,48
2,2378027,Bharath Ramsundar,48
2,7999018,Brett Kuprel,48
2,144223091,Vivek Natarajan,48
2,2051681709,Juraj Gottweis,48
2,2244651851,Tao Tu,48
2,2279021635,Khaled Saab,48
2,3480712,Ryutaro Tanno,48
2,1688882,Yann LeCun,48
2,3213968,H. Blau,48
2,2279162093,Brenna Li,48
2,2052275005,Claire Cui,48
2,145712106,Volodymyr Kuleshov,48
2,2268760043,S. Mahdavi,48
2,1751762,Yoshua Bengio,48
2,40151244,Shekoofeh Azizi,48
2,2266472373,Anil Palepu,48
2,1811529,A. Esteva,48
2,2827616,Quoc V. Le,48
2,2279022140,Jan Freyberg,48
2,2213266,Nenad Tomašev,48
2,1861312,Azalia Mirhoseini,48
2,48448318,J. Dean,48
2,2364487,Alexandre Robicquet,48
2,2275364713,Krzysztof Maziarz,48
2,2269258459,Le Hou,48
2,2298901106,E. Vedadi,48
2,2291172852,Albert Webson,48
2,2213433382,A. Karthikesalingam,48
2,144867807,S. Thrun,48
2,2217861514,Amy Wang,48
2,2446263,M. DePristo,48
2,2268759673,Karan Singhal,48
2,4648200,S. Swetter,48
2,5347246,R. Novoa,48
2,2224893214,Mohamed Amin,48
2,2269148232,Yossi Matias,48
2,10685155,Mike Schaekermann,48
2,2269173133,Yong Cheng,48
2,1846258,Noam Shazeer,48
2,2084098271,Greg S. Corrado,48
2,37397407,J. Ko,48
2,2269147696,Joelle K. Barral,48
2,2269148145,Kavita Kulkarni,48
2,1695689,Geoffrey E. Hinton,48
2,120805419,Mingxing Tan,48
2,2269148566,Katherine Chou,48
2,52326632,Christopher Semturs,48
2,2055632320,Katherine Chou,48
3,153440022,I. Goodfellow,46
3,145591745,Ilya Mironov,46
3,2108113547,Xiaoqiang Zhang,46
3,2057642721,Martín Abadi,46
3,144758007,P. Barham,46
3,35210462,Kunal Talwar,46
3,2053781980,Vijay Vasudevan,46
3,49959210,J. Dean,46
3,40527594,Lukasz Kaiser,46
3,32131713,G. Corrado,46
3,1789737,Jonathon Shlens,46
3,2080690,P. Tucker,46
3,35078078,M. Wicke,46
3,2078528337,Ashish Agarwal,46
3,145057514,H. B. McMahan,46
3,2060655766,G. Irving,46
3,1944541,R. Józefowicz,46
3,32163737,Benoit Steiner,46
3,20154699,D. Murray,46
3,36347083,Andy Davis,46
3,2117163698,Yuan Yu,46
3,2090818,M. Isard,46
3,1689108,O. Vinyals,46
3,48738717,C. Citro,46
3,144927151,M. Schuster,46
3,144375552,Sherry Moore,46
3,2545358,Z. Chen,46
3,1942300,M. Kudlur,46
3,2152832173,Li Zhang,46
3,145233583,M. Wattenberg,46
3,30415265,Dandelion Mané,46
3,2657155,Vincent Vanhoucke,46
3,2064102917,A. Harp,46
3,47941411,Pete Warden,46
3,39978391,Yangqing Jia,46
3,2357599490,C. Olah,46
3,1780892,S. Ghemawat,46
3,145139947,M. Devin,46
3,1765169,F. Viégas,46
3,1396184193,Andy Chu,46
3,2445241,E. Brevdo,46
3,3089272,R. Monga,46
3,2108406634,Jianmin Chen,46
3,3369421,J. Levenberg,46
3,2152198093,Xiaoqiang Zheng,46
3,1701686,I. Sutskever,46
4,3422052,Neil C. Rabinowitz,32
4,2645384,K. Kavukcuoglu,32
4,2755582,Guillaume Desjardins,32
4,2749418,Vedavyas Panneershelvam,32
4,47568983,George van den Driessche,32
4,2388737,C. Clopath,32
4,40662181,Madeleine Leach,32
4,145824029,David Silver,32
4,1885349,Aja Huang,32
4,1686971,T. Graepel,32
4,2228824,Andrei A. Rusu,32
4,2315504,R. Hadsell,32
4,35099444,A. Guez,32
4,4111313,John Nham,32
4,8181864,Kieran Milan,32
4,144056327,J. Veness,32
4,48987704,D. Hassabis,32
4,2106164,D. Kumaran,32
4,4337102,Julian Schrittwieser,32
4,2542999,T. Lillicrap,32
4,2772217,Chris J. Maddison,32
4,2460849,Ioannis Antonoglou,32
4,1996134,Razvan Pascanu,32
4,34660073,John Quan,32
4,2401609,Dominik Grewe,32
4,2175946,L. Sifre,32
4,34505275,Tiago Ramalho,32
4,1398898827,A. Grabska-Barwinska,32
4,48373216,S. Dieleman,32
4,2583391,Nal Kalchbrenner,32
4,2066516991,J. Kirkpatrick,32
4,1975889,Marc Lanctot,32
5,1688276,Daan Wierstra,23
5,1398105826,Alvaro Sanchez-Gonzalez,23
5,1854385,Çaglar Gülçehre,23
5,2066201331,Victoria Langston,23
5,35030998,Adam Santoro,23
5,46378362,M. Botvinick,23
5,35188630,George E. Dahl,23
5,1745899,Chris Dyer,23
5,2107148568,H. F. Song,23
5,145254624,Kelsey R. Allen,23
5,2603033,V. Bapst,23
5,40348417,Ashish Vaswani,23
5,2801204,N. Heess,23
5,2844530,Andrea Tacchetti,23
5,3133079,V. Zambaldi,23
5,2019153,P. Battaglia,23
5,47002813,Yujia Li,23
5,2158860,Jessica B. Hamrick,23
5,145478807,Mateusz Malinowski,23
5,143724694,David Raposo,23
5,36942233,Charlie Nash,23
5,5055381,A. Ballard,23
5,2058362,J. Gilmer,23
6,22236100,Sasank Chilamkurthy,20
6,152599430,Lu Fang,20
6,1403239967,Francisco Massa,20
6,3370429,Zeming Lin,20
6,114250963,Gregory Chanan,20
6,2253681376,Zachary DeVito,20
6,2065251344,James Bradbury,20
6,2059271276,Trevor Killeen,20
6,3050846,Alban Desmaison,20
6,1977806,Adam Lerer,20
6,2052812305,E. Yang,20
6,2127604,Soumith Chintala,20
6,41203992,Alykhan Tejani,20
6,10707709,Martin Raison,20
6,3365851,N. Gimelshein,20
6,2113829116,Junjie Bai,20
6,3407277,Adam Paszke,20
6,3029482,L. Antiga,20
6,39793298,Sam Gross,20
6,1473151134,Andreas Köpf,20
7,2061550,Heng-Tze Cheng,15
7,2073806959,Tushar Chandra,15
7,2329784607,H. Shah,15
7,3296031,T. Shaked,15
7,1508890387,Rohan Anil,15
7,20048351,Vihan Jain,15
7,2109059862,Xiaobing Liu,15
7,2064995505,G. Anderson,15
7,2055400243,Wei Chai,15
7,2066076307,Jeremiah Harmsen,15
7,37413761,M. Ispir,15
7,3312922,H. Aradhye,15
7,40338695,L. Koc,15
7,2217278,Lichan Hong,15
7,50730596,Zakaria Haque,15
8,34185195,Karn Seth,8
8,4908509,Ben Kreuter,8
8,2064203013,Aaron Segal,8
8,2212030,Antonio Marcedone,8
8,2072422622,Vladimir Ivanov,8
8,34521172,Sarvar Patel,8
8,2039588,Keith Bonawitz,8
8,1878835,Daniel Ramage,8
9,144643812,Z. Celik,5
9,144061974,P. Mcdaniel,5
9,144231976,A. Swami,5
9,1680133,S. Jha,5
9,2367796356,Nicolas Papernot,5
10,151505981,Chiyuan Zhang,4
10,1751569,Samy Bengio,4
10,9229182,B. Recht,4
10,1775622,Moritz Hardt,4
